COMMON NAME,START MONTH,START DAY,END MONTH,END DAY,POLYGON
Small Shearwaters,,,,,
Wood Stork,,,,,
Magnificent Frigatebird,,,,,
frigatebird sp.,,,,,
Frigatebirds,,,,,
Brown Booby,,,,,
Northern Gannet,,,,,
Anhinga,,,,,
Great Cormorant,,,,,
Neotropic Cormorant,,,,,
American White Pelican,,,,,"42.04187725255843, -81.89673324438282|44.61660146923972, -71.32239242407032|49.9465618496524, -79.54016586157032|49.47769813295959, -81.84729476782032|44.81957369910498, -84.00061508032032|42.18042981696523, -83.17114730688282"
American White Pelican,12,,3,,
Brown Pelican,,,,,
Least Bittern,,,,,"46.83247357834313, -96.3924802268779|46.99757384693988, -74.1122067893779|56.24481335004855, -74.22684420684075|57.68206807220005, -91.98075045684075|52.59153966111512, -95.59286534185931"
Least Bittern,11,,3,,
Little Egret,,,,,
Snowy Egret,,,,,
Little Blue Heron,,,,,
Tricolored Heron,,,,,
Reddish Egret,,,,,
Great Egret,,,,,"46.83247357834313, -96.3924802268779|46.99757384693988, -74.1122067893779|56.24481335004855, -74.22684420684075|57.68206807220005, -91.98075045684075|52.59153966111512, -95.59286534185931"
Cattle Egret,,,,,
Green Heron,,,,,"46.83247357834313, -96.3924802268779|46.99757384693988, -74.1122067893779|56.24481335004855, -74.22684420684075|57.68206807220005, -91.98075045684075|52.59153966111512, -95.59286534185931"
Green Heron,12,,3,,
Black-crowned Night-Heron,,,,,"46.83247357834313, -96.3924802268779|46.99757384693988, -74.1122067893779|56.24481335004855, -74.22684420684075|57.68206807220005, -91.98075045684075|52.59153966111512, -95.59286534185931"
Yellow-crowned Night-Heron,,,,,
White Ibis,,,,,
Glossy Ibis,,,,,
White-faced Ibis,,,,,
Glossy/White-faced Ibis,,,,,
ibis sp.,,,,,
Plegadis Ibises,,,,,
Roseate Spoonbill,,,,,
Black Vulture,,,,,"41.41358934253522, -79.18336785084477|43.5363067348257, -79.16139519459477|43.933211892498676, -75.60182488209477|45.80171450823866, -73.22877800709477|53.595522677895765, -77.67274773365727|58.103792338216785, -90.02687371021977|53.667183857433216, -94.5491210246729|48.70881842386149, -97.84089958912602|41.64387834534348, -84.38539421803227"
Turkey Vulture,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Swallow-tailed Kite,,,,,
Golden Eagle,6,,8,,"46.64729622613731, -84.49540784620643|46.496246353072785, -76.54130628370643|44.17996842330521, -69.81767347120643|41.17630767122074, -83.30888440870643"
Mississippi Kite,,,,,
Cooper's Hawk,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Red-shouldered Hawk,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Swainson's Hawk,,,,,
Red-shouldered x Red-tailed Hawk (hybrid),,,,,
Red-tailed x Red-shouldered Hawk,,,,,
Red-tailed x Rough-legged Hawk (hybrid),,,,,
Red-tailed x Rough-legged Hawk,,,,,
Ferruginous Hawk,,,,,
Eastern Screech-Owl,,,,,"46.83247357834313, -96.3924802268779|46.99757384693988, -74.1122067893779|56.24481335004855, -74.22684420684075|57.68206807220005, -91.98075045684075|52.59153966111512, -95.59286534185931"
Burrowing Owl,,,,,
Barred Owl,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Yellow-bellied x Red-naped Sapsucker (hybrid),,,,,
Yellow-bellied x Red-naped Sapsucker,,,,,
Lewis's Woodpecker,,,,,
Red-headed Woodpecker,,,,,"49.875760985338545, -95.1622984271168|48.93212677120807, -88.2628843646168|50.88455665949299, -87.3839781146168|49.90407311353855, -77.3150083880543|54.80913052617399, -81.3085386614918|58.00421983737804, -87.1257994036793|54.682303113418, -97.0739195208668"
Red-bellied Woodpecker,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
American Three-toed Woodpecker,,,,,"46.043520399515586, -84.25795648317904|46.740635385340184, -76.91908929567904|44.27748072844982, -69.49233148317904|41.063638499893855, -83.51088617067904"
Black-backed Woodpecker,,,,,"45.46092361838332, -82.74184320192904|44.86445763175035, -79.74257562380404|44.24207374061447, -78.26491449099154|44.83330175339589, -76.46864984255404|45.56870107308418, -73.40346429567904|42.707490339257674, -77.57277581911654|40.33065760570574, -84.24697015505404"
Crested Caracara,,,,,
Prairie Falcon,,,,,
Western Wood-Pewee,,,,,
Eastern Wood-Pewee,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Yellow-bellied Flycatcher,11,,3,,
Acadian Flycatcher,,,,,"43.914537706703996, -82.18154046755404|44.16331520887914, -79.17128656130404|43.82939840550157, -77.28163812380404|43.82741697461651, -76.27089593630404|45.7606474420176, -71.89833734255404|53.229733637838294, -80.64345453005404|57.76852911845722, -83.97231195192904|57.65812976377793, -89.76760003786654|56.30040440541526, -96.09023187380404|48.6889870512042, -95.81557367067904"
Willow Flycatcher,,,,,"46.83247357834313, -96.3924802268779|46.99757384693988, -74.1122067893779|56.24481335004855, -74.22684420684075|57.68206807220005, -91.98075045684075|52.59153966111512, -95.59286534185931"
Gray Flycatcher,,,,,
Dusky Flycatcher,,,,,
Say's Phoebe,,,,,
Vermilion Flycatcher,,,,,
Ash-throated Flycatcher,,,,,
Great-crested Flycatcher,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Great Kiskadee,,,,,
Sulphur-bellied Flycatcher,,,,,
Variegated Flycatcher,,,,,
Tropical Kingbird,,,,,
Tropical/Couch's Kingbird,,,,,
Cassin's Kingbird,,,,,
Thick-billed Kingbird,,,,,
Western Kingbird,,,,,
Cassin's/Western Kingbird,,,,,
Western x Eastern Kingbird (hybrid),,,,,
Eastern x Western Kingbird,,,,,
Gray Kingbird,,,,,
Scissor-tailed Flycatcher,,,,,
Fork-tailed Flycatcher,,,,,
Black-capped Vireo,,,,,
White-eyed Vireo,,,,,
Bell's Vireo,,,,,
Plumbeous Vireo,,,,,
